% -----------------------------------------------------------------
% Sonnenuntergang, Sonnenaufgang und Sonnenscheindauer
% an der Schoepfstrasse nach Schaetzle
%
% Extrahiert aus dem File schaetzle.html am ertel
% unter /usr/local/httpd/htdocs/new/tools/
% der von Andi Schaffhauser von Ausdrucken im WB-Zimmer
% abgeschrieben wurde (fuer Berechnung der naechtlichen Auskuehlung).
%
% SSD daraus berechnet mit file ssd_ibk.m am ertel in
% /home/meteodat.
%
% Spalte Name Bedeutung
%    1    MM   Monat
%    2    DD   Tag
%    3    SU   Zeit des Sonnenunterganges (hhmm) MEZ
%    4    SA   Zeit des Sonnenaufganges am Folgetag (hhmm) MEZ
%    5    SSD  Sonnenscheindauer in Minuten
%
% Johannes Vergeiner, 05/2005
% -----------------------------------------------------------------
% MM   DD    SU     SA     SSD
   1    1   1512    920    352
   1    2   1512    920    352
   1    3   1513    920    353
   1    4   1514    918    354
   1    5   1515    918    357
   1    6   1516    918    358
   1    7   1518    917    360
   1    8   1521    916    364
   1    9   1522    916    366
   1   10   1523    916    367
   1   11   1525    915    369
   1   12   1526    915    371
   1   13   1527    915    372
   1   14   1528    914    373
   1   15   1528    914    374
   1   16   1529    913    375
   1   17   1529    912    376
   1   18   1531    910    379
   1   19   1532    909    382
   1   20   1534    908    385
   1   21   1536    907    388
   1   22   1538    906    391
   1   23   1539    905    393
   1   24   1541    903    396
   1   25   1543    901    400
   1   26   1546    858    405
   1   27   1550    851    412
   1   28   1554    845    423
   1   29   1600    841    435
   1   30   1603    839    442
   1   31   1605    833    446

   2    1   1607    831    454
   2    2   1608    829    457
   2    3   1610    828    461
   2    4   1612    826    464
   2    5   1614    822    468
   2    6   1615    819    473
   2    7   1617    817    478
   2    8   1619    816    482
   2    9   1621    814    485
   2   10   1624    812    490
   2   11   1627    812    495
   2   12   1631    812    499
   2   13   1634    810    502
   2   14   1637    807    507
   2   15   1639    804    512
   2   16   1642    802    518
   2   17   1644    755    522
   2   18   1644    752    529
   2   19   1645    749    533
   2   20   1647    747    538
   2   21   1650    745    543
   2   22   1652    745    547
   2   23   1652    744    547
   2   24   1654    739    550
   2   25   1656    736    557
   2   26   1659    733    563
   2   27   1702    731    569
   2   28   1703    729    572
   2   29   1703    729    574

   3    1   1705    724    576
   3    2   1705    724    581
   3    3   1706    721    582
   3    4   1707    717    586
   3    5   1708    713    591
   3    6   1708    710    595
   3    7   1708    707    598
   3    8   1710    705    603
   3    9   1710    702    605
   3   10   1711    700    609
   3   11   1714    659    614
   3   12   1718    657    619
   3   13   1719    655    622
   3   14   1721    652    626
   3   15   1723    649    631
   3   16   1726    648    637
   3   17   1729    646    641
   3   18   1730    644    644
   3   19   1733    641    649
   3   20   1735    638    654
   3   21   1736    635    658
   3   22   1738    633    663
   3   23   1740    629    667
   3   24   1743    626    674
   3   25   1745    623    679
   3   26   1746    620    683
   3   27   1747    618    687
   3   28   1751    616    693
   3   29   1755    613    699
   3   30   1800    611    707
   3   31   1804    610    713

   4    1   1807    607    717
   4    2   1813    604    726
   4    3   1816    600    732
   4    4   1817    558    737
   4    5   1817    554    739
   4    6   1817    551    743
   4    7   1818    549    747
   4    8   1818    546    749
   4    9   1818    545    752
   4   10   1818    545    753
   4   11   1818    544    753
   4   12   1819    543    755
   4   13   1819    543    756
   4   14   1820    542    757
   4   15   1820    540    758
   4   16   1820    538    760
   4   17   1820    537    762
   4   18   1820    535    763
   4   19   1820    532    765
   4   20   1820    530    768
   4   21   1820    529    770
   4   22   1820    527    771
   4   23   1821    525    774
   4   24   1823    523    778
   4   25   1824    520    781
   4   26   1825    517    785
   4   27   1824    514    787
   4   28   1824    512    790
   4   29   1824    511    792
   4   30   1824    508    793

   5    1   1824    505    796
   5    2   1824    504    799
   5    3   1824    503    800
   5    4   1825    502    802
   5    5   1825    500    803
   5    6   1825    459    805
   5    7   1825    457    806
   5    8   1825    454    808
   5    9   1825    453    811
   5   10   1825    452    812
   5   11   1825    452    813
   5   12   1825    452    813
   5   13   1826    452    814
   5   14   1826    451    814
   5   15   1827    451    816
   5   16   1827    450    816
   5   17   1828    450    818
   5   18   1828    450    818
   5   19   1829    450    819
   5   20   1829    450    819
   5   21   1829    449    819
   5   22   1830    448    821
   5   23   1830    448    822
   5   24   1830    448    822
   5   25   1830    448    822
   5   26   1831    447    823
   5   27   1832    447    825
   5   28   1834    447    827
   5   29   1835    445    828
   5   30   1837    444    832
   5   31   1838    444    834

   6    1   1841    444    837
   6    2   1843    443    839
   6    3   1845    443    842
   6    4   1847    442    844
   6    5   1849    442    847
   6    6   1851    442    849
   6    7   1853    441    851
   6    8   1855    441    854
   6    9   1855    441    854
   6   10   1857    441    856
   6   11   1857    440    856
   6   12   1858    440    858
   6   13   1858    440    858
   6   14   1859    440    859
   6   15   1859    440    859
   6   16   1859    439    859
   6   17   1900    439    861
   6   18   1900    439    861
   6   19   1900    439    861
   6   20   1900    439    861
   6   21   1900    439    861
   6   22   1900    439    861
   6   23   1900    440    861
   6   24   1900    440    860
   6   25   1900    440    860
   6   26   1900    440    860
   6   27   1859    440    859
   6   28   1859    440    859
   6   29   1858    441    858
   6   30   1858    441    857

   7    1   1857    441    856
   7    2   1857    441    856
   7    3   1857    442    856
   7    4   1853    442    851
   7    5   1853    442    851
   7    6   1851    443    849
   7    7   1849    443    846
   7    8   1847    443    844
   7    9   1845    444    842
   7   10   1842    444    838
   7   11   1841    444    837
